point_id,year,month,day,hour,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
1,2021,6,17,12,25.7,7.36,7.08,888.6,13.7,5.24,0.401,0.137,5.01
1,2021,6,17,12,25.7,7.36,7.08,888.6,13.7,5.24,0.401,0.137,5.01
1,2021,6,17,16,26.5,7.53,8.94,871.6,13.1,4.56,0.916,0.143,5.49
1,2021,6,17,16,26.5,7.53,8.94,871.6,13.1,4.71,1.506,0.144,6.07
1,2021,6,18,0,25.8,7.57,7.83,845.6,13.2,5.22,1.78,0.128,6.63
1,2021,6,18,4,25.1,7.44,6.91,841.1,14.3,4.97,1.078,0.099,6.94
1,2021,6,18,4,25.1,7.44,6.91,841.1,14.3,4.75,0.905,0.094,6.96
1,2021,6,18,8,24.5,7.42,6.65,849.4,13.7,5.2,0.661,0.09,6.97
1,2021,6,18,12,24.7,7.43,7.37,853.1,12.7,5.2,0.535,0.09,7.16
1,2021,6,18,16,25.6,7.44,8.13,888.4,11.7,4.52,0.535,0.09,7.16
1,2021,6,18,16,25.6,7.44,8.13,888.4,11.7,4.63,0.339,0.089,8.22
1,2021,6,18,20,25.8,7.59,11.59,887.8,10.4,4.48,0.198,0.079,8.01
1,2021,6,19,0,25.3,7.56,10.1,911.8,10.6,4.48,0.198,0.079,8.01
1,2021,6,19,4,25.1,7.54,10.38,902.7,9.6,3.88,0.123,0.079,8.49
1,2021,6,19,4,25.1,7.54,10.38,902.7,9.6,5.06,0.095,0.08,7.19
1,2021,6,19,8,24.9,7.49,10.27,894.6,9.6,5.71,0.066,0.066,7.25
1,2021,6,19,12,25.8,7.64,10.55,903.4,11.6,5.67,0.05,0.069,7.18
1,2021,6,19,16,26.9,8.51,11.34,826.4,11.8,6.01,0.037,0.07,6.14
1,2021,6,19,20,26.7,8.1,10.5,861.9,14.2,6.01,0.041,0.064,6.19
1,2021,6,20,0,25.6,7.91,9.95,868.7,12.2,4.61,0.041,0.064,6.19
1,2021,6,20,0,25.6,7.91,9.95,868.7,12.2,4.61,0.041,0.064,6.19
1,2021,6,20,8,24.9,7.66,9.65,855.1,12.9,5.72,0.037,0.056,5.7
1,2021,6,20,12,25.5,7.98,14.49,854.4,16.3,5.8,0.036,0.056,5.8
1,2021,6,20,16,26.4,8.66,13.59,802.4,15.2,5.83,0.036,0.056,5.8
1,2021,7,2,12,24.7,7.12,7.2,638.9,22.4,8.48,2.953,0.207,9.23
1,2021,7,2,16,25.8,7.12,7.26,625.8,28.9,7.38,2.953,0.207,9.23
1,2021,7,2,16,25.8,7.12,7.26,625.8,28.9,6.76,2.96,0.217,8.95
1,2021,7,2,20,26.7,7.13,14.23,605.3,28.3,5.92,2.948,0.216,8.16
1,2021,7,3,0,26.6,7.15,9.54,605.7,196.3,5.92,2.948,0.216,8.16
1,2021,7,3,4,26.4,7.22,12.79,662.5,23.4,4.56,1.637,0.174,7.02
1,2021,7,3,16,25.6,7.27,6.39,398.4,40.9,7.37,2.637,0.148,7.03
1,2021,7,3,16,25.6,7.27,6.39,398.4,40.9,6.08,2.41,0.162,6.91
1,2021,7,3,20,26.2,7.13,7.69,458.0,29.4,5.25,2.399,0.177,7.35
1,2021,7,4,0,26.0,7.05,8.65,502.2,21.1,5.25,2.399,0.177,7.35
1,2021,7,4,4,25.8,7.02,6.68,546.8,24.0,5.25,2.399,0.177,7.35
1,2021,7,4,4,25.8,7.02,6.68,546.8,24.0,5.71,2.701,0.244,8.61
1,2021,7,4,8,25.6,7.03,9.39,541.7,14.3,6.16,3.462,0.332,9.05
1,2021,7,4,12,26.1,7.05,5.32,554.9,13.0,6.16,3.714,0.399,9.65
1,2021,7,4,16,27.2,7.05,8.79,588.1,15.0,5.71,3.714,0.399,9.65
1,2021,7,4,16,27.2,7.05,8.79,588.1,15.0,5.88,3.719,0.444,9.35
1,2021,7,4,20,27.6,7.02,7.14,622.8,10.4,5.81,3.661,0.459,10.4
1,2021,7,5,4,27.1,7.02,3.7,661.3,10.6,5.81,3.661,0.459,10.4
1,2021,7,5,8,26.1,6.89,9.86,783.2,12.0,6.07,4.015,0.538,10.18
1,2021,7,5,8,26.1,6.89,9.86,783.2,12.0,6.38,2.271,0.402,9.91
1,2021,7,5,12,26.0,6.86,14.95,865.2,10.6,5.36,1.003,0.318,10.65
1,2021,7,5,16,27.6,7.03,11.74,741.8,11.1,5.36,3.543,0.503,10.93
1,2021,7,5,20,27.7,7.09,13.02,618.3,22.1,5.98,3.543,0.503,10.93
1,2021,7,5,20,27.7,7.09,13.02,618.3,22.1,4.84,2.426,0.299,8.04
1,2021,7,6,0,26.9,7.09,13.84,630.8,16.8,4.84,2.426,0.299,8.04
1,2021,7,6,4,26.2,7.16,14.28,655.2,27.7,4.84,0.668,0.175,7.0
1,2021,7,6,8,25.6,7.17,12.81,608.9,34.8,4.62,0.668,0.175,7.0
1,2021,7,6,8,25.6,7.17,12.81,608.9,34.8,6.12,1.132,0.145,6.3
1,2021,7,6,12,25.3,7.13,12.81,608.9,34.8,5.54,2.52,0.19,7.18
1,2021,7,6,16,26.4,7.06,11.52,532.7,23.1,6.04,2.719,0.178,7.57
1,2021,7,27,4,27.8,7.13,7.34,939.6,9.1,5.22,0.644,0.152,9.1
1,2021,7,27,12,26.8,7.26,7.33,550.5,34.9,8.1,1.13,0.213,5.38
1,2021,7,27,12,26.8,7.26,7.33,550.5,34.9,8.1,1.13,0.213,5.38
1,2021,7,27,12,26.8,7.26,7.33,550.5,34.9,7.82,3.828,0.213,8.42
1,2021,7,27,16,26.7,7.28,1.02,437.8,47.0,7.52,3.691,0.198,7.43
1,2021,7,27,20,26.7,7.23,2.18,504.8,28.1,6.87,4.307,0.254,8.95
1,2021,7,28,0,26.5,7.21,7.83,558.0,20.4,6.87,4.307,0.254,8.95
1,2021,7,28,4,26.4,7.21,7.53,594.2,16.2,6.87,4.307,0.254,8.95
1,2021,7,28,16,27.6,7.24,0.95,693.2,11.3,10.4,7.835,0.755,12.24
1,2021,7,29,4,27.3,7.23,7.85,748.1,12.6,4.9,2.447,0.294,5.71
1,2021,7,29,8,27.2,7.24,7.81,757.4,12.9,5.08,2.877,0.312,7.94
1,2021,7,29,12,27.1,7.28,7.46,742.2,14.0,5.33,2.877,0.312,7.73
1,2021,7,29,16,27.0,7.41,7.55,683.7,30.1,5.33,2.877,0.312,7.73
1,2021,7,29,16,27.0,7.41,7.55,683.7,30.1,5.1,1.941,0.294,6.97
1,2021,7,29,20,26.8,7.4,7.64,635.9,40.8,6.18,3.579,0.306,7.28
1,2021,7,30,4,25.7,7.23,7.78,639.2,19.7,6.18,3.579,0.306,7.28
1,2021,7,30,4,25.7,7.23,7.78,639.2,19.7,7.7,4.846,0.425,9.63
1,2021,7,30,8,25.5,7.21,1.94,653.6,15.8,8.37,5.114,0.485,10.02
1,2021,7,30,12,25.8,7.2,7.77,716.2,16.2,8.37,5.93,0.572,10.89
1,2021,7,30,16,26.6,7.15,3.17,742.1,17.6,7.89,5.93,0.572,10.89
1,2021,8,6,8,28.3,7.37,8.37,860.3,8.2,3.76,0.197,0.17,7.38
